ticket,opening_time_utc,closing_time_utc,type,lots,symbol,opening_price,closing_price,stop_loss,take_profit,commission_usd,swap_usd,profit_usd
72827370,2022-07-19T14:34:59.754000,2022-07-19T19:39:28.432000,buy,0.1,USDCADm,1.291,1.28763,0,0,0,0,-26.17
72625613,2022-07-19T12:17:49.138000,2022-07-19T19:38:55.285000,sell,0.1,GBPUSDm,1.20117,1.19962,0,0,0,0,15.5
72607151,2022-07-19T11:56:39.102000,2022-07-19T19:38:21.372000,sell,0.05,XAGUSDm,18.816,18.776,0,0,0,0,10
72606071,2022-07-19T11:55:31.166000,2022-07-19T12:23:41.398000,sell,0.05,XAUUSDm,1714.537,1710.046,0,0,0,0,22.46
72412345,2022-07-19T08:00:12.494000,2022-07-19T11:55:52.350000,buy,0.1,GBPUSDm,1.20095,1.20177,0,0,0,0,8.2
72473324,2022-07-19T09:21:34.420000,2022-07-19T10:53:10.129000,buy,0.05,XAUUSDm,1712.549,1715.974,0,0,0,0,17.12
72025729,2022-07-18T23:02:26.309000,2022-07-19T02:59:33.484000,buy,0.1,AUDUSDm,0.68099,0.68252,0,0,0,0,15.3
71789650,2022-07-18T15:06:36.177000,2022-07-18T19:49:08.932000,sell,0.2,XAUUSDm,1712.967,1706.977,0,0,0,0,119.8
71711340,2022-07-18T13:47:30.489000,2022-07-18T15:06:25.081000,buy,0.05,XAUUSDm,1716.88,1713.026,0,0,0,0,-19.27
71693578,2022-07-18T13:35:31.580000,2022-07-18T15:06:21.296000,buy,0.1,XAUUSDm,1720.141,1713.063,0,0,0,0,-70.78
71695958,2022-07-18T13:36:43.713000,2022-07-18T14:59:37.019000,buy,0.3,GBPUSDm,1.1993,1.20239,0,0,0,0,92.7
71431277,2022-07-18T08:01:39.041000,2022-07-18T13:36:36.750000,sell,0.1,GBPUSDm,1.19494,1.19937,0,0,0,0,-44.3
71533491,2022-07-18T10:24:55.050000,2022-07-18T13:36:31.583000,sell,0.2,GBPUSDm,1.19863,1.1993,0,0,0,0,-13.4
71595529,2022-07-18T12:00:02.646000,2022-07-18T13:35:20.982000,sell,0.05,XAUUSDm,1715.457,1720.676,0,0,0,0,-26.09
70245073,2022-07-15T12:35:39.512000,2022-07-15T13:14:53.898000,buy,0.15,XAUUSDm,1704.121,1713.503,0,0,0,0,140.73
70245538,2022-07-15T12:35:46.738000,2022-07-15T13:06:24.128000,buy,0.3,GBPUSDm,1.18225,1.18634,0,0,0,0,122.7
70242234,2022-07-15T12:34:25.583000,2022-07-15T12:35:31.476000,sell,0.1,XAUUSDm,1700.456,1702.976,0,0,0,0,-25.2
70185309,2022-07-15T11:33:21.150000,2022-07-15T12:35:02.855000,buy,0.2,GBPUSDm,1.18387,1.18114,0,0,0,0,-54.6
70205201,2022-07-15T12:03:17.166000,2022-07-15T12:34:18.141000,buy,0.05,XAUUSDm,1706.089,1700.574,0,0,0,0,-27.58
70043277,2022-07-15T07:55:08.307000,2022-07-15T11:33:15.523000,sell,0.1,GBPUSDm,1.18335,1.18379,0,0,0,0,-4.4
69129665,2022-07-14T14:14:09.634000,2022-07-15T02:06:03.881000,buy,0.2,XAUUSDm,1703.255,1715.088,0,0,0,0,236.66
69127216,2022-07-14T14:12:46.048000,2022-07-15T02:05:59.469000,buy,0.25,XAUUSDm,1704.23,1715.085,0,0,0,0,271.38
69118002,2022-07-14T14:06:31.991000,2022-07-14T14:12:27.186000,sell,0.3,GBPUSDm,1.17851,1.17865,0,0,0,0,-4.2
69118753,2022-07-14T14:06:56.632000,2022-07-14T14:12:23.028000,sell,0.15,XAGUSDm,18.161,18.224,0,0,0,0,-47.25
69118389,2022-07-14T14:06:43.096000,2022-07-14T14:12:19.511000,sell,0.2,XAUUSDm,1698.767,1702.851,0,0,0,0,-81.68
69006543,2022-07-14T13:27:52.739000,2022-07-14T14:06:20.197000,buy,0.05,XAGUSDm,18.363,18.149,0,0,0,0,-53.5
69027502,2022-07-14T13:33:52.757000,2022-07-14T14:06:16.219000,buy,0.1,XAUUSDm,1704.488,1698.706,0,0,0,0,-57.82
